original,entrez,symbol,kegg
186,ACOT13|55856,55856,ACOT13,hsa55856
187,ACOT1|641371,641371,ACOT1,hsa641371
188,ACOT2|10965,10965,ACOT2,hsa10965
189,ACOT4|122970,122970,ACOT4,hsa122970
190,ACOT6|641372,641372,ACOT6,hsa641372
191,ACOT7|11332,11332,ACOT7,hsa11332
192,ACOT8|10005,10005,ACOT8,hsa10005
193,ACOT9|23597,23597,ACOT9,hsa23597
194,ACOX1|51,51,ACOX1,hsa51
195,ACOX2|8309,8309,ACOX2,hsa8309
196,ACOX3|8310,8310,ACOX3,hsa8310
197,ACOXL|55289,55289,ACOXL,hsa55289
198,ACP1|52,52,ACP1,hsa52
199,ACP2|53,53,ACP2,hsa53
200,ACP5|54,54,ACP5,hsa54
201,ACP6|51205,51205,ACP6,hsa51205
202,ACPL2|92370,92370,ACPL2,hsa92370
203,ACPP|55,55,ACPP,hsa55
204,ACPT|93650,93650,ACPT,hsa93650
205,ACR|49,49,ACR,hsa49
206,ACRBP|84519,84519,ACRBP,hsa84519
207,ACRC|93953,93953,ACRC,hsa93953
208,ACRV1|56,56,ACRV1,hsa56
209,ACSBG1|23205,23205,ACSBG1,hsa23205
210,ACSBG2|81616,81616,ACSBG2,hsa81616
211,ACSF2|80221,80221,ACSF2,hsa80221
212,ACSF3|197322,197322,ACSF3,hsa197322
213,ACSL1|2180,2180,ACSL1,hsa2180
214,ACSL3|2181,2181,ACSL3,hsa2181
215,ACSL4|2182,2182,ACSL4,hsa2182
216,ACSL5|51703,51703,ACSL5,hsa51703
217,ACSL6|23305,23305,ACSL6,hsa23305
218,ACSM1|116285,116285,ACSM1,hsa116285
219,ACSM2A|123876,123876,ACSM2A,hsa123876
220,ACSM2B|348158,348158,ACSM2B,hsa348158
221,ACSM3|6296,6296,ACSM3,hsa6296
222,ACSM4|341392,341392,ACSM4,hsa341392
223,ACSM5|54988,54988,ACSM5,hsa54988
224,ACSS1|84532,84532,ACSS1,hsa84532
225,ACSS2|55902,55902,ACSS2,hsa55902
226,ACSS3|79611,79611,ACSS3,hsa79611
227,ACTA1|58,58,ACTA1,hsa58
228,ACTA2|59,59,ACTA2,hsa59
229,ACTB|60,60,ACTB,hsa60
230,ACTBL2|345651,345651,ACTBL2,hsa345651
231,ACTC1|70,70,ACTC1,hsa70
232,ACTG1|71,71,ACTG1,hsa71
233,ACTG2|72,72,ACTG2,hsa72
234,ACTL6A|86,86,ACTL6A,hsa86
235,ACTL6B|51412,51412,ACTL6B,hsa51412
236,ACTL7A|10881,10881,ACTL7A,hsa10881
237,ACTL7B|10880,10880,ACTL7B,hsa10880
238,ACTL8|81569,81569,ACTL8,hsa81569
239,ACTL9|284382,284382,ACTL9,hsa284382
240,ACTN1|87,87,ACTN1,hsa87
241,ACTN2|88,88,ACTN2,hsa88
242,ACTN3|89,89,ACTN3,hsa89
243,ACTN4|81,81,ACTN4,hsa81
244,ACTR10|55860,55860,ACTR10,hsa55860
245,ACTR1A|10121,10121,ACTR1A,hsa10121
246,ACTR1B|10120,10120,ACTR1B,hsa10120
247,ACTR2|10097,10097,ACTR2,hsa10097
248,ACTR3|10096,10096,ACTR3,hsa10096
249,ACTR3B|57180,57180,ACTR3B,hsa57180
250,ACTR3C|653857,653857,ACTR3C,hsa653857
251,ACTR5|79913,79913,ACTR5,hsa79913
252,ACTR6|64431,64431,ACTR6,hsa64431
253,ACTR8|93973,93973,ACTR8,hsa93973
254,ACTRT1|139741,139741,ACTRT1,hsa139741
255,ACTRT2|140625,140625,ACTRT2,hsa140625
256,ACVR1|90,90,ACVR1,hsa90
257,ACVR1B|91,91,ACVR1B,hsa91
258,ACVR1C|130399,130399,ACVR1C,hsa130399
259,ACVR2A|92,92,ACVR2A,hsa92
260,ACVR2B|93,93,ACVR2B,hsa93
261,ACVRL1|94,94,ACVRL1,hsa94
262,ACY1|95,95,ACY1,hsa95
263,ACY3|91703,91703,ACY3,hsa91703
264,ACYP1|97,97,ACYP1,hsa97
265,ACYP2|98,98,ACYP2,hsa98
266,ADA|100,100,ADA,hsa100
267,ADAD1|132612,132612,ADAD1,hsa132612
268,ADAD2|161931,161931,ADAD2,hsa161931
269,ADAL|161823,161823,ADAL,hsa161823
270,ADAM10|102,102,ADAM10,hsa102
271,ADAM11|4185,4185,ADAM11,hsa4185
272,ADAM12|8038,8038,ADAM12,hsa8038
273,ADAM15|8751,8751,ADAM15,hsa8751
274,ADAM17|6868,6868,ADAM17,hsa6868
275,ADAM18|8749,8749,ADAM18,hsa8749
276,ADAM19|8728,8728,ADAM19,hsa8728
277,ADAM20|8748,8748,ADAM20,hsa8748
